Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Cyclops_bicuspidatus_thomasi,NA,0.000121403,NA,Cyclopoida,Omnivore carnivore,Raptorial,Omnivore carnivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Rotifera_general,NA,0.000222572,0.176,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Eucyclops_spp,NA,NA,NA,Cyclopoida,Omnivore herbivore,Raptorial,Omnivore herbivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Notholca_spp,NA,NA,NA,Rotifera,Herbivore,R-Filtration,Herbivore_ R-Filtration,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Polyarthra_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Ascomorpha_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Asplanchna_spp,NA,NA,NA,Rotifera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Kellicottia_longspinia,4.16E-16,4.05E-05,0.15,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Amphipoda_general,NA,NA,NA,Amphipoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Mites_general,NA,NA,NA,Arachnida,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Alpine_general,NA,NA,NA,Alpine,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_middenorfiana,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Nauplii_general,0.000895388,0.008214928,0.176,Nauplii,NA,NA,NA_ NA,Nauplii
