Sample_ID,percent_N,percent_C,percent_S,d15N,d13C,d34S,Notes,C_N_ratio,perc_lipid,d13C_corrected
NFL_P2_20210914,6.87,43.028,0.638,1.068803859,-31.82254904,-0.333272,,6.263173217,0.457144185,-28.85111184
NFL_P2_20211019,9.521,43.182,0.698,1.9316972,-29.8936597,-1.956134,,4.535447957,0.250349683,-28.26638676
NFL_P2_20211109,9.252,43.559,0.745,2.029554163,-30.29187781,0.462246,,4.708063121,0.277834661,-28.48595251
NFL_P3_20210720,9.888,46.221,0.793,4.352639897,-32.51587948,-2.657972,,4.674453883,0.272642305,-30.74370449
NFL_P3_20210817,7.909,41.901,0.633,1.411504912,-31.07924111,0.637567,,5.297888481,0.358234887,-28.75071434
NFL_P3_20210914,7.028,48.111,0.602,2.151776413,-32.21219412,-2.64026,,6.84561753,0.503331878,-28.94053691
NFL_P3_20211019,5.95,54.513,0.598,3.96593671,-33.29755758,-0.32328,,9.161848739,0.62889586,-29.20973449
NFL_P3_20211109,6.843,41.361,0.597,4.601661086,-32.66242034,-4.629539,,6.044278825,0.437484587,-29.81877052
NFL_UPPER2_20211109,8.6,43.2,0.7,4.8,-31.3,-0.6,,5.023255814,0.323148148,-29.19953704
Replicate C9,5.722,40.595,0.677,3.287822532,-27.39856963,-10.5477074,,7.094547361,0.520758714,-24.01363799
Replicate C9,4.823778824,31.8351698,1.278636209,9.31758184,-25.8098062,-4.735311984,,6.599632977,0.484819836,-22.65847727
Replicate C9,5.107,28.916,0.602,6.733918221,-26.97371912,-4.844297,,5.662032504,0.399508922,-24.37691112
Replicate C9,9.6,39.7,1.9,12.3,-28.2,-2.8,,4.135416667,0.177833753,-27.0440806
SAR_P1_20220524,3.316,27.243,0.434,5.980229859,-34.02582272,-4.349025,,8.21562123,0.586154241,-30.21582015
SAR_P1_20220621,5.377,30.163,0.637,6.842090317,-27.27568918,-5.25278,,5.609633625,0.393899811,-24.71534041
SAR_P1_20220728,5.308,32.111,0.683,5.976701707,-29.50425659,-2.117352,,6.049547852,0.437974526,-26.65742217
SAR_P1_20220812,10.72,44.121,0.98,10.0248982,-29.3069505,-2.029196,,4.115764925,0.173908116,-28.17654774
SAR_P1_20220831,11.585,46.9,0.776,9.865527748,-29.84432175,-2.3684362,,4.048338369,0.160149254,-28.8033516
SAR_P1_20220912,9.445,49.711,0.682,10.10245169,-31.93112689,-2.2376426,,5.263208047,0.354006156,-29.63008688
SAR_P1_20220912_DUP,9.038,47.994,0.654,10.29048266,-32.0478764,-2.1512254,,5.31024563,0.359728299,-29.70964245
SAR_P2_20220524,3.521,28.444,0.473,6.020028659,-32.42819528,-4.9714624,,8.078386822,0.579123893,-28.66388998
SAR_P2_20220621,4.49,30.008,0.654,6.939529471,-27.8282484,-5.548349,,6.683296214,0.491268995,-24.63499993
SAR_P2_20220728,8.457,40.837,0.833,9.188758242,-30.22504769,-1.704765,,4.828780892,0.295888532,-28.30177223
SAR_P2_20220812,10.8,42.3,0.9,10.4,-29.4,-2,,3.916666667,0.131914894,-28.54255319
SAR_P2_20220831,10.609,43.849,0.817,9.953134956,-30.78735477,-1.814899,,4.133188802,0.17739059,-29.63431593
SAR_P2_20220912,9.874,42.35,0.721,11.03170346,-31.38042237,-2.21779,,4.289041928,0.207282172,-30.03308825
SAR_P3_20220524,4.163,28.768,0.478,6.891348254,-32.06806375,-3.572438,,6.910401153,0.507988042,-28.76614148
SAR_P3_20220621,6,32.1,0.8,7.8,-27.4,-2.7,,5.35,0.364485981,-25.03084112
SAR_P3_20220728,5.957,30.559,0.918,7.505738777,-28.89360315,-2.683433,,5.129931173,0.337223077,-26.70165315
SAR_P3_20220812,8.242,38.193,0.816,9.468359777,-30.10222055,-1.357845,,4.633948071,0.266284398,-28.37137197
SAR_P3_20220812_DUP,6.288,31.036,0.688,7.885648542,-30.23680933,-0.822269,,4.935750636,0.311148344,-28.21434509
SAR_P3_20220831,9.791,41.391,0.719,9.515885045,-30.88917628,-1.774026,,4.227453784,0.195733372,-29.61690936
SAR_P3_20220831_DUP,9.786,45.713,0.719,10.57333359,-31.41726706,-1.7541734,,4.671265073,0.272145779,-29.6483195
SAR_P3_20220912,9.885,43.485,0.771,9.633511534,-31.62191477,-2.3369056,,4.39908953,0.227112798,-30.14568159
VIV_P1_20210629,3.12,27.305,0.354,3.1595012,-34.1518595,10.02184,yellow flag,8.751602564,0.611499725,-30.17711129
VIV_P1_20210827,4.889,31.467,0.633,3.4039454,-32.09758406,3.967335,yellow flag,6.436285539,0.471745003,-29.03124154
VIV_P2_20210629,2.682187862,21.74184966,0.530447724,3.35994378,-32.73450864,11.91956203,,8.106012993,0.580558284,-28.96087979
VIV_P2_20210827,9.016,39.261,1.194,1.720838475,-32.72411874,14.884641,,4.354591837,0.219214997,-31.29922126
VIV_P3_20210629,4.821,23.237,0.46,5.026166,-33.1688642,10.4925,yellow flag,4.819954366,0.294599131,-31.25396985
VIV_P3_20210827,8.917,35.129,1.689,2.290470756,-31.90342735,16.7040734,,3.939553662,0.136958069,-31.0131999
WHE_P1_20210701,5.160753075,30.73523405,0.976747039,9.15381604,-26.13549892,-4.181236841,,5.955571523,0.429106008,-23.34630987
WHE_P1_20210903,9.663888356,39.68626792,1.308390297,6.19673136,-26.85371116,-5.83661242,,4.106656292,0.17207583,-25.73521826
WHE_P1_20220623,5.081,42.299,0.416,9.2756567,-29.60358595,-3.91855,yellow flag,8.324936036,0.591588454,-25.758261
WHE_P1_20220726,9.571,45.643,1.175,9.571024735,-25.21310043,-4.569333,,4.768885174,0.287045111,-23.34730721
WHE_P1_20220817,7.604,41.334,1.355,7.689278338,-25.0456939,-2.674902,,5.435823251,0.374519766,-22.61131542
WHE_P1_20220907,9.4,43.2,1.4,8,-21.9,-2.6,,4.595744681,0.260185185,-20.2087963
WHE_P1_20220907_DUP,8.8,42.9,1.5,7.4,-21.8,-2.9,,4.875,0.302564103,-19.83333333
WHE_P1_20221017,5.7,42.7,1.1,7.4,-23.7,-3.6,,7.49122807,0.546135831,-20.1501171
WHE_P2_20210707,4.981034434,32.69334434,1.256549057,9.44758358,-25.66946992,-4.630271743,,6.563565214,0.481988845,-22.53654243
WHE_P2_20210903,8.290155429,38.96821943,1.060093714,5.11345092,-27.54734208,-5.380402308,,4.700541475,0.276679077,-25.74892808
WHE_P2_20220623,8.481,40.937,0.887,10.72884957,-26.98150724,-4.537119,,4.826907204,0.295615214,-25.06000835
WHE_P2_20220726,7.654,41.62,1.471,9.725738745,-24.72880613,-3.081294,,5.437679645,0.374733301,-22.29303967
WHE_P2_20220817,8.938,44.11,1.469,6.538008845,-22.2476888,-3.164978,,4.935108525,0.311058717,-20.22580714
WHE_P2_20220817_DUP,12.763,46.057,0.912,6.5574776,-20.90339693,-4.313485,yellow flag,3.608634334,0.057815316,-20.52759738
WHE_P2_20220907,5.1,31.3,4.1,6.7,-20.3,-1.3,,6.137254902,0.44600639,-17.40095847
WHE_P2_20221017,9,45.1,1,8.7,-21.6,-4.9,,5.011111111,0.321507761,-19.51019956
WHE_P3_20210707,6.848,33.173,0.84,9.3453536,-26.38109206,-4.956565,yellow flag,4.844188084,0.298127996,-24.44326009
WHE_P3_20210903,6.988680138,38.33744248,1.111737543,1.08582314,-28.26477272,-3.855170918,,5.485648466,0.380200897,-25.79346689
WHE_P3_20220623,8.557,41.739,0.829,10.66651131,-27.68398338,-5.949579,,4.877760898,0.302958863,-25.71475077
WHE_P3_20220726,5.761,35.648,0.966,7.891449849,-23.35245637,-4.184004,,6.187814616,0.450532989,-20.42399194
WHE_P3_20220817,7.608,40.062,1.637,5.454015646,-22.16077596,-2.947482,,5.265772871,0.354320803,-19.85769074
WHE_P3_20220907,7.5,39,4,7.4,-19.4,-1.4,,5.2,0.346153846,-17.15
WHE_P3_20221012_DUP,8.084,41.933,0.862,8.7150512,-21.82392196,-5.203545,yellow flag,5.187159822,0.34453533,-19.58444231
WHE_P3_20221017,7.3,38.9,1.2,7.1,-20.9,-5.2,,5.328767123,0.361953728,-18.54730077
